date,open,low,high,close,volume,upper_wick,lower_wick,total_wick,pdh,pdl
2025-08-03 19:00:00-05:00,1.15791,1.15778,1.15813,1.1581,510,3.0000000000196536e-05,0.0001299999999999,0.0001600000000001,,
2025-08-03 19:05:00-05:00,1.1581,1.15781,1.15816,1.15814,456,2.0000000000131024e-05,0.0002899999999999,0.00031,,
2025-08-03 19:10:00-05:00,1.15814,1.15813,1.15842,1.15815,615,0.0002699999999999,9.999999999843467e-06,0.0002799999999998,,
2025-08-03 19:15:00-05:00,1.15815,1.15814,1.15845,1.1584,430,4.999999999988347e-05,1.0000000000065512e-05,5.999999999994898e-05,,
2025-08-03 19:20:00-05:00,1.1584,1.15823,1.15844,1.15835,517,3.999999999981796e-05,0.0001199999999998,0.0001599999999997,,
2025-08-03 19:25:00-05:00,1.15835,1.15815,1.15836,1.15835,252,1.0000000000065512e-05,0.0001999999999999,0.00021,,
2025-08-03 19:30:00-05:00,1.15835,1.15832,1.15854,1.15841,440,0.0001299999999999,2.999999999997449e-05,0.0001599999999999,,
2025-08-03 19:35:00-05:00,1.15841,1.15802,1.15853,1.15804,394,0.0001200000000001,1.999999999990898e-05,0.00014,,
2025-08-03 19:40:00-05:00,1.15804,1.15773,1.15804,1.15784,438,0.0,0.00011,0.00011,,
2025-08-03 19:45:00-05:00,1.15784,1.15779,1.15807,1.15798,268,8.999999999992347e-05,4.999999999988347e-05,0.0001399999999998,,
2025-08-03 19:50:00-05:00,1.15798,1.1578,1.15807,1.15795,398,8.999999999992347e-05,0.00015,0.00024,,
2025-08-03 19:55:00-05:00,1.15795,1.15744,1.15795,1.15746,717,0.0,1.999999999990898e-05,1.999999999990898e-05,,
2025-08-03 20:00:00-05:00,1.15746,1.15709,1.15792,1.15784,883,8.000000000008001e-05,0.0003699999999999,0.00045,,
2025-08-03 20:05:00-05:00,1.15784,1.15783,1.15821,1.15812,685,8.999999999992347e-05,1.0000000000065512e-05,9.9999999999989e-05,,
2025-08-03 20:10:00-05:00,1.15812,1.15784,1.15814,1.15784,562,1.999999999990898e-05,0.0,1.999999999990898e-05,,
2025-08-03 20:15:00-05:00,1.15784,1.15741,1.15784,1.15741,633,0.0,0.0,0.0,,
2025-08-03 20:20:00-05:00,1.15741,1.15732,1.15776,1.15776,683,0.0,9.000000000014552e-05,9.000000000014552e-05,,
2025-08-03 20:25:00-05:00,1.15776,1.15755,1.15791,1.15765,665,0.00015,9.9999999999989e-05,0.00025,,
2025-08-03 20:30:00-05:00,1.15765,1.15717,1.15768,1.15728,654,2.999999999997449e-05,0.00011,0.00014,,
2025-08-03 20:35:00-05:00,1.15728,1.15716,1.15742,1.15729,568,0.0001299999999999,0.0001200000000001,0.00025,,
2025-08-03 20:40:00-05:00,1.15729,1.15702,1.15738,1.15712,526,9.000000000014552e-05,9.9999999999989e-05,0.0001900000000001,,
2025-08-03 20:45:00-05:00,1.15712,1.15673,1.15715,1.1569,593,2.999999999997449e-05,0.00017,0.0001999999999999,,
2025-08-03 20:50:00-05:00,1.1569,1.15673,1.15711,1.15697,675,0.00014,0.00017,0.00031,,
2025-08-03 20:55:00-05:00,1.15697,1.15684,1.15713,1.15703,732,9.9999999999989e-05,0.0001299999999999,0.0002299999999999,,
2025-08-03 21:00:00-05:00,1.15703,1.15665,1.15712,1.15685,1417,8.999999999992347e-05,0.0001999999999999,0.0002899999999999,,
2025-08-03 21:05:00-05:00,1.15685,1.15679,1.15731,1.15695,1123,0.0003600000000001,5.999999999994898e-05,0.00042,,
2025-08-03 21:10:00-05:00,1.15695,1.15682,1.15787,1.15786,1742,1.0000000000065512e-05,0.0001299999999999,0.00014,,
2025-08-03 21:15:00-05:00,1.15786,1.1577,1.15833,1.15805,1364,0.00028,0.0001599999999999,0.0004399999999999,,
2025-08-03 21:20:00-05:00,1.15805,1.15692,1.1581,1.157,1041,4.999999999988347e-05,8.000000000008001e-05,0.0001299999999999,,
2025-08-03 21:25:00-05:00,1.157,1.15633,1.157,1.15663,996,0.0,0.0002999999999999,0.0002999999999999,,
2025-08-03 21:30:00-05:00,1.15663,1.15659,1.15709,1.15702,1968,7.00000000000145e-05,4.000000000004e-05,0.00011,,
2025-08-03 21:35:00-05:00,1.15702,1.15684,1.15727,1.15705,1141,0.0002200000000001,0.0001799999999998,0.0003999999999999,,
2025-08-03 21:40:00-05:00,1.15705,1.15702,1.15767,1.15745,1367,0.0002199999999998,2.999999999997449e-05,0.0002499999999998,,
2025-08-03 21:45:00-05:00,1.15745,1.15714,1.15757,1.15734,1278,0.0001199999999998,0.0001999999999999,0.0003199999999998,,
2025-08-03 21:50:00-05:00,1.15734,1.15725,1.15777,1.15749,1062,0.00028,9.000000000014552e-05,0.0003700000000002,,
2025-08-03 21:55:00-05:00,1.15749,1.15702,1.15755,1.15717,1595,6.000000000017103e-05,0.00015,0.0002100000000002,,
2025-08-03 22:00:00-05:00,1.15717,1.1569,1.15785,1.15724,2046,0.0006099999999999,0.0002699999999999,0.0008799999999999,,
2025-08-03 22:05:00-05:00,1.15724,1.15624,1.15725,1.15661,2275,9.999999999843467e-06,0.0003699999999999,0.0003799999999998,,
2025-08-03 22:10:00-05:00,1.15661,1.15655,1.15711,1.15658,2034,0.0005000000000001,2.999999999997449e-05,0.0005300000000001,,
2025-08-03 22:15:00-05:00,1.15658,1.156,1.15677,1.15608,1831,0.0001900000000001,8.000000000008001e-05,0.0002700000000002,,
2025-08-03 22:20:00-05:00,1.15608,1.15568,1.15621,1.1557,1585,0.0001299999999999,1.999999999990898e-05,0.0001499999999998,,
2025-08-03 22:25:00-05:00,1.1557,1.15558,1.156,1.15585,960,0.0001499999999998,0.0001199999999998,0.0002699999999997,,
2025-08-03 22:30:00-05:00,1.15585,1.15543,1.15592,1.1558,1082,7.00000000000145e-05,0.0003699999999999,0.0004399999999999,,
2025-08-03 22:35:00-05:00,1.1558,1.15531,1.15598,1.15534,1130,0.00018,2.999999999997449e-05,0.00021,,
2025-08-03 22:40:00-05:00,1.15534,1.15507,1.15576,1.1557,1160,5.999999999994898e-05,0.0002699999999999,0.0003299999999999,,
2025-08-03 22:45:00-05:00,1.1557,1.15536,1.1558,1.1556,1126,9.9999999999989e-05,0.00024,0.00034,,
2025-08-03 22:50:00-05:00,1.1556,1.15551,1.1565,1.15646,1149,4.000000000004e-05,8.999999999992347e-05,0.0001299999999999,,
2025-08-03 22:55:00-05:00,1.15646,1.15617,1.15665,1.15637,1796,0.0001899999999999,0.0001999999999999,0.0003899999999998,,
2025-08-03 23:00:00-05:00,1.15637,1.1556,1.1564,1.15582,1739,3.0000000000196536e-05,0.0002200000000001,0.0002500000000003,,
2025-08-03 23:05:00-05:00,1.15582,1.15567,1.15622,1.15583,1411,0.0003900000000001,0.00015,0.0005400000000002,,
2025-08-03 23:10:00-05:00,1.15583,1.15581,1.15651,1.1562,1531,0.00031,1.999999999990898e-05,0.0003299999999999,,
2025-08-03 23:15:00-05:00,1.1562,1.15589,1.15627,1.15602,1431,7.00000000000145e-05,0.0001299999999999,0.0001999999999999,,
2025-08-03 23:20:00-05:00,1.15602,1.1556,1.15602,1.15587,1287,0.0,0.0002699999999999,0.0002699999999999,,
2025-08-03 23:25:00-05:00,1.15587,1.15566,1.15631,1.15613,1223,0.0001799999999998,0.00021,0.0003899999999998,,
2025-08-03 23:30:00-05:00,1.15613,1.15538,1.15614,1.1555,1151,9.999999999843467e-06,0.0001199999999998,0.0001299999999997,,
2025-08-03 23:35:00-05:00,1.1555,1.15494,1.1555,1.15535,1147,0.0,0.00041,0.00041,,
2025-08-03 23:40:00-05:00,1.15535,1.15501,1.15535,1.15511,1029,0.0,9.9999999999989e-05,9.9999999999989e-05,,
2025-08-03 23:45:00-05:00,1.15511,1.15504,1.15563,1.1556,1146,2.999999999997449e-05,7.00000000000145e-05,9.9999999999989e-05,,
2025-08-03 23:50:00-05:00,1.1556,1.15535,1.15597,1.15592,1020,4.999999999988347e-05,0.0002499999999998,0.0002999999999997,,
2025-08-03 23:55:00-05:00,1.15592,1.15565,1.15597,1.15581,1028,4.999999999988347e-05,0.0001599999999999,0.0002099999999998,,
2025-08-04 00:00:00-05:00,1.15581,1.15555,1.15615,1.15601,1435,0.00014,0.0002599999999999,0.0003999999999999,1.15883,1.15312
2025-08-04 00:05:00-05:00,1.15601,1.15599,1.15661,1.15649,1216,0.0001199999999998,1.999999999990898e-05,0.0001399999999998,1.15883,1.15312
2025-08-04 00:10:00-05:00,1.15649,1.15642,1.15696,1.15684,1276,0.0001199999999998,7.00000000000145e-05,0.0001899999999999,1.15883,1.15312
2025-08-04 00:15:00-05:00,1.15684,1.15667,1.15733,1.15733,1242,0.0,0.00017,0.00017,1.15883,1.15312
2025-08-04 00:20:00-05:00,1.15733,1.15671,1.15738,1.15692,1342,5.000000000010552e-05,0.00021,0.0002600000000001,1.15883,1.15312
2025-08-04 00:25:00-05:00,1.15692,1.15689,1.15733,1.15707,1075,0.0002599999999999,2.999999999997449e-05,0.0002899999999999,1.15883,1.15312
2025-08-04 00:30:00-05:00,1.15707,1.15698,1.1573,1.157,802,0.0002299999999999,2.0000000000131024e-05,0.00025,1.15883,1.15312
2025-08-04 00:35:00-05:00,1.157,1.15698,1.15774,1.15763,1072,0.00011,2.0000000000131024e-05,0.0001300000000001,1.15883,1.15312
2025-08-04 00:40:00-05:00,1.15763,1.15721,1.15765,1.15726,896,2.0000000000131024e-05,4.999999999988347e-05,7.00000000000145e-05,1.15883,1.15312
